team,R32,S16,E8,F4,NCG,Champ
Duke,1.0,0.898,0.704,0.807,0.306,0.205
Michigan,1.0,0.922,0.664,0.757,0.291,0.158
Florida,1.0,0.875,0.67,0.616,0.216,0.133
Arizona,0.758,0.673,0.519,0.549,0.214,0.107
Houston,0.999,0.841,0.484,0.429,0.146,0.086
Purdue,0.999,0.892,0.559,0.475,0.154,0.064
Illinois,1.0,0.805,0.418,0.314,0.109,0.054
Connecticut,1.0,0.804,0.504,0.315,0.098,0.044
Iowa St.,1.0,0.812,0.51,0.304,0.091,0.03
Gonzaga,0.999,0.833,0.397,0.26,0.076,0.024
Michigan St.,0.994,0.646,0.32,0.174,0.05,0.024
Texas Tech,0.952,0.474,0.159,0.121,0.032,0.012
Kansas,0.99,0.601,0.178,0.097,0.028,0.011
Tennessee,0.867,0.46,0.2,0.108,0.031,0.01
Alabama,0.988,0.52,0.159,0.096,0.026,0.01
Arkansas,0.997,0.547,0.21,0.119,0.035,0.008
Virginia,0.997,0.524,0.239,0.104,0.03,0.006
Wisconsin,0.974,0.452,0.166,0.063,0.013,0.002
Vanderbilt,0.968,0.49,0.141,0.052,0.013,0.002
Nebraska,0.996,0.508,0.15,0.054,0.011,0.002
Louisville,0.898,0.345,0.121,0.039,0.008,0.002
St. John's,0.954,0.396,0.084,0.04,0.006,0.001
Saint Mary's,0.644,0.124,0.04,0.011,0.002,0.001
Iowa,0.581,0.079,0.026,0.011,0.002,0.001
North Carolina,0.833,0.183,0.05,0.01,0.001,0.001
Long Island,0.242,0.074,0.025,0.006,0.001,0.001
Georgia,0.659,0.058,0.016,0.006,0.001,0.001
UCLA,0.803,0.187,0.053,0.017,0.003,0.0
Villanova,0.555,0.133,0.047,0.007,0.002,0.0
Santa Clara,0.436,0.07,0.02,0.005,0.002,0.0
Ohio St.,0.747,0.095,0.032,0.011,0.001,0.0
Kentucky,0.564,0.118,0.03,0.004,0.001,0.0
Utah St.,0.445,0.12,0.033,0.007,0.0,0.0
BYU,0.579,0.116,0.021,0.003,0.0,0.0
Texas,0.421,0.051,0.005,0.003,0.0,0.0
Clemson,0.419,0.046,0.013,0.002,0.0,0.0
Miami FL,0.609,0.077,0.011,0.002,0.0,0.0
Texas A&M,0.356,0.035,0.007,0.001,0.0,0.0
Missouri,0.391,0.031,0.007,0.001,0.0,0.0
Saint Louis,0.341,0.02,0.002,0.0,0.0,0.0
SMU,0.133,0.016,0.001,0.0,0.0,0.0
VCU,0.167,0.012,0.001,0.0,0.0,0.0
UCF,0.197,0.009,0.001,0.0,0.0,0.0
South Florida,0.102,0.009,0.001,0.0,0.0,0.0
TCU,0.253,0.007,0.001,0.0,0.0,0.0
Northern Iowa,0.046,0.003,0.001,0.0,0.0,0.0
Akron,0.048,0.006,0.0,0.0,0.0,0.0
McNeese St.,0.032,0.002,0.0,0.0,0.0,0.0
High Point,0.026,0.001,0.0,0.0,0.0,0.0
Hofstra,0.012,0.0,0.0,0.0,0.0,0.0
Cal Baptist,0.01,0.0,0.0,0.0,0.0,0.0
North Dakota St.,0.006,0.0,0.0,0.0,0.0,0.0
Troy,0.004,0.0,0.0,0.0,0.0,0.0
Hawaii,0.003,0.0,0.0,0.0,0.0,0.0
Wright St.,0.003,0.0,0.0,0.0,0.0,0.0
Idaho,0.001,0.0,0.0,0.0,0.0,0.0
Kennesaw St.,0.001,0.0,0.0,0.0,0.0,0.0
Queens,0.001,0.0,0.0,0.0,0.0,0.0
Siena,0.0,0.0,0.0,0.0,0.0,0.0
Furman,0.0,0.0,0.0,0.0,0.0,0.0
Lehigh,0.0,0.0,0.0,0.0,0.0,0.0
Penn,0.0,0.0,0.0,0.0,0.0,0.0
Howard,0.0,0.0,0.0,0.0,0.0,0.0
Tennessee St.,0.0,0.0,0.0,0.0,0.0,0.0
